{126,46,223,4629.45,902.32,0.49,0.95,1.66,0,0,1.97,0.07,9.55,9.75,0.00,0.00,0.00,0.00,0.00,0.00}
{127,46,216,4629.45,902.31,0.58,0.95,1.56,0,0,1.97,0.09,9.55,9.75,0.13,0.00,0.00,0.13,0.00,0.00}
{128,46,213,4629.45,902.31,0.58,0.95,1.60,0,0,1.96,0.07,9.56,9.76,0.00,0.06,0.00,0.00,0.06,0.00}
{129,46,213,4729.44,902.31,0.58,0.95,1.63,0,0,1.96,0.08,9.55,9.75,-0.06,0.06,-0.06,-0.06,0.06,-0.06}
{130,47,237,4729.44,902.31,0.58,0.95,1.63,0,0,1.97,0.11,9.55,9.75,0.00,-0.06,0.06,0.00,-0.06,0.06}
{131,47,223,4729.44,902.29,0.77,0.95,1.69,0,0,1.95,0.08,9.58,9.78,-0.06,0.00,0.00,-0.06,0.00,0.00}
{132,47,221,4729.45,902.31,0.58,0.95,1.69,0,0,1.98,0.08,9.58,9.78,0.06,0.13,-0.06,0.06,0.13,-0.06}
{133,47,233,4729.44,902.27,0.95,0.95,1.81,0,0,1.96,0.08,9.54,9.74,0.06,0.06,-0.06,0.13,-0.19,-0.06}
{134,47,219,4829.44,902.29,0.77,0.95,1.81,0,0,1.96,0.08,9.56,9.76,0.00,0.06,0.00,0.00,0.06,0.00}
{135,48,228,4829.44,902.29,0.77,0.95,1.88,0,0,1.96,0.07,9.53,9.73,0.00,-0.19,-0.13,0.00,-0.19,-0.13}
{136,48,216,4829.44,902.31,0.58,0.95,1.75,0,0,1.95,0.08,9.57,9.77,0.00,0.00,0.00,0.00,0.00,0.00}
{137,48,223,4829.44,902.32,0.49,0.95,1.66,0,0,1.98,0.08,9.56,9.76,-0.06,0.06,0.00,0.00,0.19,0.06}
{138,48,215,4929.44,902.30,0.67,0.95,1.63,0,0,1.95,0.08,9.56,9.76,-0.06,-0.13,0.06,0.00,0.19,0.00}
{139,49,220,4929.44,902.30,0.67,0.95,1.66,0,0,1.97,0.09,9.57,9.77,-0.06,-0.13,-0.06,0.00,0.00,-0.06}
{140,49,220,4929.44,902.29,0.77,0.95,1.75,0,0,1.97,0.08,9.57,9.77,0.06,0.00,0.00,0.06,0.00,0.00}
{141,49,233,4929.44,902.31,0.58,0.95,1.72,0,0,1.96,0.08,9.57,9.77,0.00,0.06,-0.06,0.00,-0.13,0.06}
{142,49,248,4929.44,902.31,0.58,0.95,1.69,0,0,1.97,0.10,9.57,9.77,0.00,-0.06,0.13,-0.06,-0.06,0.13}
{143,49,220,5029.44,902.34,0.30,0.95,1.53,0,0,1.96,0.08,9.56,9.76,0.00,0.06,0.06,-0.06,0.00,0.13}
{144,50,220,5029.44,902.28,0.86,0.95,1.63,0,0,1.95,0.08,9.57,9.77,-0.06,0.00,0.06,-0.06,0.00,0.06}
{145,50,220,5029.44,902.28,0.86,0.95,1.72,0,0,1.96,0.07,9.55,9.75,-0.06,0.19,-0.13,-0.06,0.19,-0.13}
{146,50,227,5029.44,902.28,0.86,0.95,1.91,0,0,1.98,0.06,9.57,9.77,-0.06,-0.06,-0.06,-0.06,-0.19,0.00}
{147,50,225,5129.45,902.30,0.67,0.95,1.84,0,0,1.98,0.06,9.56,9.76,0.06,-0.06,0.00,0.06,-0.06,0.00}
{148,51,225,5129.45,902.29,0.77,0.95,1.81,0,0,1.95,0.08,9.58,9.78,0.00,-0.13,0.00,0.00,-0.13,0.00}
{149,51,219,5129.45,902.32,0.49,0.95,1.69,0,0,1.96,0.06,9.54,9.74,0.13,0.06,0.00,0.13,0.06,0.00}
{150,51,230,5129.44,902.31,0.58,0.95,1.66,0,0,1.97,0.07,9.55,9.75,0.19,0.06,-0.13,0.19,0.06,-0.13}
{151,51,252,5129.45,902.29,0.77,0.95,1.66,0,0,1.96,0.08,9.56,9.76,0.06,-0.19,0.06,0.06,-0.19,0.06}
{152,51,219,5229.45,902.29,0.77,0.95,1.75,0,0,1.95,0.08,9.56,9.76,0.00,0.13,-0.06,0.00,0.13,-0.06}
{153,52,218,5229.45,902.31,0.58,0.95,1.75,0,0,1.95,0.08,9.57,9.77,0.06,0.00,0.19,0.00,0.06,-0.06}
{154,52,219,5229.45,902.32,0.49,0.95,1.66,0,0,1.96,0.09,9.55,9.75,0.06,-0.19,0.19,0.00,-0.06,0.06}
{155,52,220,5229.45,902.30,0.67,0.95,1.63,0,0,1.95,0.09,9.56,9.76,0.00,-0.06,0.00,0.00,-0.06,0.00}
{156,52,227,5329.45,902.30,0.67,0.95,1.66,0,0,1.96,0.09,9.57,9.77,0.06,0.25,0.06,0.06,0.25,0.06}
